"date","period","forecast_eps","actual_eps","sma4_actual_eps","smooth_0.05_0.95","trend_0.05_0.95","forecast_0.05_0.95","residual_0.05_0.95"
"1/15/2015",1,"0.49",0.5,NA,NA,NA,NA,NA
"4/16/2015",2,"0.48",0.48,NA,NA,NA,NA,NA
"7/16/2015",3,"0.37",0.5,NA,NA,NA,NA,NA
"10/15/2015",4,"0.45",0.46,0.485,NA,NA,NA,NA
"1/14/2016",5,"0.4",0.43,0.4675,0.4675,0.0399324324324324,NA,NA
"4/14/2016",6,"0.37",0.38,0.4425,0.44375,-0.0205658783783784,0.446934121621622,-0.0044341216216216
"7/14/2016",7,"0.42",0.43,0.425,0.4259375,-0.0179501689189189,0.425799831081081,-0.000799831081081059
"10/13/2016",8,"--",0.59,0.4575,0.455921875,0.0275876478040541,0.453525147804054,0.00397485219594601
"1/12/2017",9,"0.58",0.61,0.5025,0.50017109375,0.0434161402027026,0.499338015202703,0.00316198479729735
"4/13/2017",10,"0.53",0.54,0.5425,0.5403835546875,0.0403726449007601,0.54054373865076,0.00195626134923998
"7/13/2017",11,"0.56",0.42,0.54,0.540019177734375,0.00167247413956939,0.542056028827069,-0.00205602882706923
"10/19/2017",12,"0.56",0.57,0.535,0.535250958886719,-0.00444618419829504,0.53557299353608,-0.00057299353607998
"1/18/2018",13,"0.63",0.64,0.5425,0.542137547944336,0.00631995039482158,0.54157090928154,0.000929090718459702
"4/19/2018",14,"0.6",0.59,0.555,0.554356877397217,0.0119243604999779,0.554061908444314,0.000938091555686138
"7/19/2018",15,"0.45",0.47,0.5675,0.566842843869861,0.0124578861740108,0.566814763571228,0.000685236428772495
"10/18/2018",16,"--",0.56,0.565,0.565092142193493,-0.00104027228384889,0.565802571586012,-0.000802571586012046
"1/17/2019",17,"0.63",0.63,0.5625,0.562629607109675,-0.00239142194381996,0.562700720249673,-0.000200720249673103
"4/18/2019",18,"0.38",0.38,0.51,0.512631480355484,-0.0476177915136724,0.515011815596002,-0.00501181559600217
"7/18/2019",19,"0.42",0.41,0.495,0.495881574017774,-0.0182933005965077,0.494338179758976,0.000661820241023958
"10/17/2019",20,"--",0.62,0.51,0.509294078700889,0.0118272144191334,0.507708788436908,0.00229121156309242
"1/16/2020",21,"0.72",0.73,0.535,0.533714703935044,0.0237909546934046,0.533085033394293,0.00191496660570678
"4/16/2020",22,"0.66",0.75,0.6275,0.622810735196752,0.0858307774332926,0.619545481368337,0.00795451863166297
"7/16/2020",23,"0.73",0.78,0.72,0.715140536759838,0.0920048503565958,0.714815585553348,0.00518441444665207
"10/15/2020",24,"0.92",0.9,0.79,0.786257026837992,0.0721609080920763,0.787301444851914,0.00269855514808615
"1/14/2021",25,"0.92",0.97,0.85,0.8468128513419,0.0611360786833162,0.847393105521308,0.002606894478692
"4/15/2021",26,"0.91",0.96,0.9025,0.899715642567095,0.0533144555981014,0.900127306940001,0.00237269305999899
"7/15/2021",27,"0.89",0.93,0.94,0.937985782128355,0.0390223553631018,0.938737997930197,0.00126200206980331
"10/14/2021",28,"1.05",1.08,0.985,0.982649289106418,0.044381449397315,0.98236723152567,0.00263276847433036
"1/13/2022",29,"1.12",1.15,1.03,1.02763246445532,0.0449530890513237,1.02760237815774,0.00239762184225878
"4/14/2022",30,"1.31",1.4,1.14,1.13438162322277,0.103659355281639,1.13129181973696,0.00870818026303999
"7/14/2022",31,"1.5",1.55,1.295,1.28696908116114,0.150141052805535,1.2845226760283,0.0104773239716986
"10/13/2022",32,"1.69",1.79,1.4725,1.46322345405806,0.17494870689235,1.46191778805349,0.0105822119465122
"1/12/2023",33,"1.8",1.82,1.64,1.6311611727029,0.168288268057221,1.63151172211528,0.00848827788472195
"4/20/2023",34,"1.21",1.31,1.6175,1.61818305863515,-0.00391479496150867,1.62724637774139,-0.0097463777413942
"7/20/2023",35,"1.07",1.14,1.515,1.52015915293176,-0.0933184501662939,1.52486460846885,-0.0098646084688514
"10/19/2023",36,"1.16",1.29,1.39,1.39650795764659,-0.122134558029226,1.39802459490253,-0.00802459490253171
"1/18/2024",37,"1.37",1.44,1.295,1.30007539788233,-0.0977176596775071,1.29879029796908,-0.00379029796908092
"4/18/2024",38,"1.29",1.38,1.3125,1.31187876989412,0.00632732042732244,1.30640271830965,0.0060972816903484
"7/18/2024",39,"1.37",1.48,1.3975,1.39321893849471,0.0775895261919259,1.38946829608604,0.00803170391395769
"10/17/2024",40,"1.74",1.94,1.56,1.55166094692474,0.154399384318125,1.54761832281283,0.0123816771871699
"1/16/2025",41,"2.16",2.24,1.76,1.74958304734624,0.195745964616332,1.74740691154107,0.0125930884589323
"4/17/2025",42,"2.03",2.12,1.945,1.93522915236731,0.186151098000838,1.93573414534707,0.0092658546529254
NA,43,NA,NA,NA,NA,NA,2.12138025036815,NA
NA,44,NA,NA,NA,NA,NA,2.30753134836899,NA
NA,45,NA,NA,NA,NA,NA,2.49368244636983,NA
NA,46,NA,NA,NA,NA,NA,2.67983354437066,NA
